City,State,State Abbreviation
Birmingham,Alabama,AL
Montgomery,Alabama,AL
Mobile,Alabama,AL
Huntsville,Alabama,AL
Tuscaloosa,Alabama,AL
Fairbanks,Alaska,AK
Juneau,Alaska,AK
Chandler,Arizona,AZ
Tempe,Arizona,AZ
West Valley,Arizona,AZ
Little Rock,Arkansas,AR
Fort Smith,Arkansas,AR
Fayetteville,Arkansas,AR
Fort Collins,Colorado,CO
Bridgeport,Connecticut,CT
New Haven,Connecticut,CT
Stamford,Connecticut,CT
Hartford,Connecticut,CT
Wilmington,Delaware,DE
Dover,Delaware,DE
Miami,Florida,FL
St. Petersburg,Florida,FL
Hialeah,Florida,FL
Tallahassee,Florida,FL
Fort Lauderdale,Florida,FL
Port St. Lucie,Florida,FL
Cape Coral,Florida,FL
Pembroke Pines,Florida,FL
Augusta,Georgia,GA
Columbus,Georgia,GA
Savannah,Georgia,GA
Athens,Georgia,GA
Boise,Idaho,ID
Meridian,Idaho,ID
Nampa,Idaho,ID
Aurora,Illinois,IL
Naperville,Illinois,IL
Joliet,Illinois,IL
Rockford,Illinois,IL
Evansville,Indiana,IN
South Bend,Indiana,IN
Des Moines,Iowa,IA
Cedar Rapids,Iowa,IA
Davenport,Iowa,IA
Overland Park,Kansas,KS
Kansas City,Kansas,KS
Baton Rouge,Louisiana,LA
Shreveport,Louisiana,LA
Portland,Maine,ME
Worcester,Massachusetts,MA
Springfield,Massachusetts,MA
Grand Rapids,Michigan,MI
Warren,Michigan,MI
Sterling Heights,Michigan,MI
Ann Arbor,Michigan,MI
Rochester,Minnesota,MN
Jackson,Mississippi,MS
Gulfport,Mississippi,MS
Springfield,Missouri,MO
Billings,Montana,MT
Missoula,Montana,MT
Manchester,New Hampshire,NH
Nashua,New Hampshire,NH
Paterson,New Jersey,NJ
Elizabeth,New Jersey,NJ
Las Cruces,New Mexico,NM
Rochester,New York,NY
Yonkers,New York,NY
Syracuse,New York,NY
Greensboro,North Carolina,NC
Fayetteville,North Carolina,NC
Fargo,North Dakota,ND
Bismarck,North Dakota,ND
Cincinnati,Ohio,OH
Akron,Ohio,OH
Norman,Oklahoma,OK
Eugene,Oregon,OR
Salem,Oregon,OR
Allentown,Pennsylvania,PA
Providence,Rhode Island,RI
Columbia,South Carolina,SC
Charleston,South Carolina,SC
North Charleston,South Carolina,SC
Sioux Falls,South Dakota,SD
Rapid City,South Dakota,SD
Knoxville,Tennessee,TN
Chattanooga,Tennessee,TN
Irving,Texas,TX
Salt Lake City,Utah,UT
West Valley City,Utah,UT
Provo,Utah,UT
Burlington,Vermont,VT
Norfolk,Virginia,VA
Richmond,Virginia,VA
Spokane,Washington,WA
Tacoma,Washington,WA
Charleston,West Virginia,WV
Huntington,West Virginia,WV
Green Bay,Wisconsin,WI
Cheyenne,Wyoming,WY
Casper,Wyoming,WY
