City,State,State Abbreviation,ZIP Code,Population,Median Income,Agent Value,Notes
Birmingham,Alabama,AL,35203,12000,42000,2,Downtown mixed use
Birmingham,Alabama,AL,35213,25000,85000,5,Mountain Brook area luxury homes
Birmingham,Alabama,AL,35223,18000,65000,4,Homewood strong market
Birmingham,Alabama,AL,35242,15000,52000,3,Growing suburban
Montgomery,Alabama,AL,36104,8000,35000,2,Downtown area
Montgomery,Alabama,AL,36117,22000,72000,5,East Montgomery high demand
Montgomery,Alabama,AL,36116,16000,48000,3,West side residential
Mobile,Alabama,AL,36608,14000,58000,4,West Mobile family area
Mobile,Alabama,AL,36695,18000,68000,4,Spring Hill upscale
Mobile,Alabama,AL,36606,12000,38000,2,Lower demand area
Huntsville,Alabama,AL,35801,10000,45000,3,Downtown revitalization
Huntsville,Alabama,AL,35806,28000,82000,5,Jones Valley tech workers
Huntsville,Alabama,AL,35824,24000,78000,5,Research Park area
Tuscaloosa,Alabama,AL,35401,15000,42000,3,Near University of Alabama
Tuscaloosa,Alabama,AL,35406,20000,58000,4,Northport area
Fairbanks,Alaska,AK,99701,15000,68000,3,Downtown Fairbanks
Fairbanks,Alaska,AK,99709,18000,82000,4,Military Eielson area
Juneau,Alaska,AK,99801,22000,88000,4,Capital city government workers
Juneau,Alaska,AK,99803,8000,72000,3,Douglas Island
Chandler,Arizona,AZ,85224,35000,85000,5,Ocotillo new developments
Chandler,Arizona,AZ,85225,42000,98000,5,High-end tech sector
Chandler,Arizona,AZ,85226,28000,72000,4,Established neighborhoods
Tempe,Arizona,AZ,85281,25000,52000,3,Near ASU rentals
Tempe,Arizona,AZ,85284,32000,92000,5,South Tempe premium
Tempe,Arizona,AZ,85282,28000,68000,4,Central Tempe
West Valley,Arizona,AZ,85383,38000,65000,4,Peoria area growing
West Valley,Arizona,AZ,85345,32000,58000,3,Glendale west
Little Rock,Arkansas,AR,72202,8000,42000,2,Downtown
Little Rock,Arkansas,AR,72211,22000,78000,5,West Little Rock upscale
Little Rock,Arkansas,AR,72223,18000,72000,4,Maumelle area
Fort Smith,Arkansas,AR,72901,12000,38000,2,Central city
Fort Smith,Arkansas,AR,72903,16000,52000,3,East side residential
Fayetteville,Arkansas,AR,72701,18000,58000,4,Near University of Arkansas
Fayetteville,Arkansas,AR,72704,24000,68000,4,Northwest growth area
Fort Collins,Colorado,CO,80521,32000,78000,5,South Fort Collins
Fort Collins,Colorado,CO,80526,28000,88000,5,Southwest CSU area
Fort Collins,Colorado,CO,80528,22000,72000,4,East side
Bridgeport,Connecticut,CT,06604,18000,45000,3,North end
Bridgeport,Connecticut,CT,06606,15000,42000,2,East side
New Haven,Connecticut,CT,06510,12000,48000,3,East Rock area
New Haven,Connecticut,CT,06511,22000,72000,4,Westville near Yale
New Haven,Connecticut,CT,06515,16000,55000,3,Amity area
Stamford,Connecticut,CT,06902,25000,95000,5,Downtown commuters
Stamford,Connecticut,CT,06903,18000,88000,5,Waterside
Stamford,Connecticut,CT,06905,20000,82000,4,North Stamford
Hartford,Connecticut,CT,06106,14000,38000,2,Central city
Hartford,Connecticut,CT,06107,18000,52000,3,West Hartford border
Wilmington,Delaware,DE,19801,15000,48000,3,Downtown
Wilmington,Delaware,DE,19803,20000,82000,5,Greenville area upscale
Wilmington,Delaware,DE,19805,12000,58000,3,Northeast
Dover,Delaware,DE,19901,18000,52000,3,Central Dover
Dover,Delaware,DE,19904,14000,58000,3,South Dover
Miami,Florida,FL,33133,28000,125000,5,Coral Gables luxury
Miami,Florida,FL,33139,35000,72000,4,Miami Beach
Miami,Florida,FL,33176,42000,62000,4,West Kendall families
Miami,Florida,FL,33145,32000,58000,3,Little Havana area
Miami,Florida,FL,33186,38000,68000,4,South Miami
St. Petersburg,Florida,FL,33701,18000,55000,3,Downtown
St. Petersburg,Florida,FL,33706,25000,78000,5,Northeast waterfront
St. Petersburg,Florida,FL,33710,22000,65000,4,Central
Hialeah,Florida,FL,33010,35000,42000,3,Central Hialeah
Hialeah,Florida,FL,33016,32000,48000,3,Northwest
Tallahassee,Florida,FL,32301,12000,38000,2,Downtown
Tallahassee,Florida,FL,32312,28000,72000,5,Northeast upscale
Tallahassee,Florida,FL,32308,24000,58000,4,Near FSU
Fort Lauderdale,Florida,FL,33301,15000,62000,4,Downtown
Fort Lauderdale,Florida,FL,33304,22000,88000,5,Victoria Park
Fort Lauderdale,Florida,FL,33315,28000,52000,3,West Fort Lauderdale
Port St. Lucie,Florida,FL,34952,32000,58000,4,Central area
Port St. Lucie,Florida,FL,34986,28000,62000,4,Southwest growth
Cape Coral,Florida,FL,33904,35000,55000,4,Southwest
Cape Coral,Florida,FL,33909,38000,62000,4,Southeast waterfront
Cape Coral,Florida,FL,33914,32000,58000,3,Northwest
Pembroke Pines,Florida,FL,33024,35000,68000,4,East side families
Pembroke Pines,Florida,FL,33029,32000,65000,4,West side
Augusta,Georgia,GA,30901,10000,35000,2,Downtown
Augusta,Georgia,GA,30909,25000,72000,5,West Augusta upscale
Augusta,Georgia,GA,30906,22000,58000,4,South Augusta
Columbus,Georgia,GA,31901,12000,38000,2,Downtown
Columbus,Georgia,GA,31904,20000,62000,4,North Columbus
Columbus,Georgia,GA,31907,18000,52000,3,East side
Savannah,Georgia,GA,31401,8000,58000,4,Historic district
