census_tract,total_loans,va_loans,va_total_amount,conv_loans,fha_loans
04001942700,1,0,0,1,0
04001944000,1,0,0,1,0
04001944201,4,0,0,4,0
04001944202,1,0,0,0,1
04001944302,1,0,0,1,0
04001944902,2,0,0,2,0
04001945001,6,0,0,5,1
04001945002,1,0,0,1,0
04001945100,3,0,0,3,0
04001970201,49,11,2895000,27,8
04001970202,49,8,2520000,34,7
04001970300,27,3,865000,18,5
04001970501,75,8,2360000,47,18
04001970502,114,10,4170000,90,13
04003000101,3,1,345000,2,0
04003000102,13,2,320000,9,2
04003000201,39,5,1085000,23,11
04003000202,42,6,1200000,18,14
04003000203,69,13,3255000,39,14
04003000301,107,22,5250000,53,26
04003000303,79,17,4635000,43,16
04003000304,46,10,3280000,29,3
04003000305,74,11,2885000,47,13
04003000400,45,13,3055000,29,3
04003000501,30,4,780000,17,8
04003000502,10,2,480000,7,0
04003000503,1,0,0,1,0
04003000600,15,2,670000,9,4
04003000700,45,4,1280000,16,15
04003000800,56,2,510000,29,16
04003000901,29,3,435000,9,11
04003000902,18,1,135000,5,6
04003001000,23,0,0,20,3
04003001100,60,5,1035000,41,10
04003001200,32,6,1170000,19,5
04003001301,29,11,2935000,15,3
04003001302,38,9,1675000,16,8
04003001501,68,30,8960000,29,9
04003001502,60,21,4395000,30,9
04003001601,110,38,10590000,52,20
04003001602,35,14,3180000,15,6
04003001701,78,27,7205000,35,16
04003001702,44,20,5610000,19,5
04003001703,102,41,11875000,54,7
04003001801,133,60,19290000,67,6
04003001802,82,36,12570000,33,13
04003001900,166,60,21660000,92,14
04003002001,137,55,16475000,64,18
04003002002,75,24,7560000,46,5
04003002100,132,46,15130000,76,10
04005000100,79,0,0,78,1
04005000200,44,3,1765000,40,1
04005000301,30,3,1225000,26,1
04005000302,34,1,385000,30,3
04005000400,76,3,1085000,65,8
04005000500,63,2,640000,49,12
04005000601,59,1,695000,57,1
04005000602,39,3,1205000,36,0
04005000700,91,5,2895000,80,6
04005000800,26,0,0,26,0
04005000901,79,3,1635000,76,0
04005000902,58,0,0,57,1
04005001000,4,0,0,4,0
04005001101,97,0,0,94,3
04005001103,72,6,2810000,51,15
04005001104,51,3,2095000,48,0
04005001201,47,0,0,47,0
04005001301,123,12,7210000,103,8
04005001302,111,12,7490000,91,8
04005001500,228,10,4400000,204,14
04005001601,54,0,0,53,1
04005001602,17,1,725000,16,0
04005001700,92,7,2535000,75,10
04005002000,39,7,2515000,28,4
04005002101,62,3,715000,50,8
04005002102,37,4,1510000,26,6
04005002201,134,12,5850000,113,9
04005002202,101,4,2150000,85,12
04005002301,21,3,975000,11,7
04005002302,106,16,6210000,71,19
04005944900,4,0,0,4,0
04005945000,2,0,0,2,0
04005945100,2,0,0,2,0
04007000100,166,10,4820000,145,11
04007000200,99,4,1150000,85,10
04007000301,153,10,4100000,122,21
04007000302,75,6,2290000,58,11
04007000400,175,12,4050000,140,21
04007000500,110,6,1890000,89,15
04007000600,38,4,1460000,29,4
04007000700,41,3,785000,34,4
04007000800,8,1,145000,6,1
04007000900,22,1,165000,12,6
04007001000,51,9,2775000,29,12
04007001100,67,7,1535000,32,21
04007001200,57,5,1275000,33,19
04007001300,7,0,0,4,3
04007940400,4,0,0,4,0
04009961100,89,7,2065000,51,30
04009961201,61,0,0,46,13
04009961202,103,6,1670000,60,31
04009961300,56,2,330000,30,17
04009961400,96,7,1775000,42,34
04009961500,93,7,2175000,41,38
04009961600,16,0,0,6,5
04009961700,83,13,3975000,38,27
04011960100,18,0,0,11,7
04011960300,27,3,635000,12,11
04012020101,2,1,175000,0,1
04012020102,12,3,635000,6,3
04012020201,27,3,895000,21,3
04012020202,20,0,0,17,3
04012020501,9,3,735000,5,1
04012020503,10,4,940000,4,2
04012020504,4,1,175000,2,1
04012020505,11,5,905000,6,0
04012020602,10,0,0,7,3
04012940200,26,3,895000,17,4
04013010102,204,5,6635000,198,1
04013010103,179,11,8195000,159,9
04013010104,192,3,4875000,183,6
04013030401,154,2,2070000,150,2
04013030402,122,3,2135000,117,2
04013040502,94,12,5270000,67,14
04013040506,219,19,5925000,173,27
04013040507,175,17,4515000,129,29
04013040512,40,5,2065000,33,2
