census_tract,total_loans,va_loans,va_total_amount,conv_loans,fha_loans
06059099802,11,0,0,10,1
06107004402,7,0,0,5,2
06037234502,16,0,0,13,3
06037554403,20,1,525000,16,3
06037533803,14,0,0,11,3
06037408900,68,2,1560000,65,1
06037481712,10,0,0,10,0
06107000402,64,0,0,43,21
06037481713,18,0,0,17,1
06037533804,12,0,0,10,2
06037404901,27,0,0,24,3
06019002701,35,0,0,25,10
06097152401,122,1,1655000,120,1
06059099803,27,0,0,26,1
06037554404,17,0,0,16,1
06073009804,108,6,5000000,98,4
06065031501,43,2,990000,31,10
06019002702,23,1,315000,15,7
06037404902,30,0,0,28,2
06071008901,15,2,210000,9,4
06037577200,41,2,1420000,38,1
06037109601,37,1,325000,30,6
06037533805,10,0,0,7,3
06071004901,24,0,0,14,10
06037481714,10,0,0,10,0
06071000901,30,0,0,27,3
06037554405,16,0,0,15,1
06001407700,92,1,645000,83,8
06097152402,106,2,1410000,101,3
06073009805,97,11,7905000,85,1
06037533806,6,0,0,6,0
06037404903,16,1,375000,13,2
06071004902,17,0,0,11,6
06037573201,16,1,585000,12,3
06001403701,10,0,0,9,1
06075032901,33,1,985000,32,0
06073020601,37,1,695000,31,5
06037554406,36,0,0,33,3
06001428301,91,5,4305000,83,3
06037109603,42,1,615000,37,4
06075032902,32,0,0,31,1
06007000401,40,1,515000,38,1
06037573202,31,0,0,28,3
06071000903,45,0,0,40,5
06037481401,21,0,0,21,0
06001403702,14,0,0,14,0
06037603301,20,0,0,20,0
06001428302,79,1,1315000,78,0
06073020602,61,5,2685000,53,3
06079012403,46,1,545000,39,6
06083002932,19,0,0,19,0
06065031503,55,3,1745000,34,18
06085508101,42,0,0,41,1
06065046900,19,2,380000,15,2
06083002933,12,0,0,12,0
06037603302,31,1,345000,28,2
06025011500,25,2,670000,12,11
06037408631,39,1,765000,32,6
06085508102,23,0,0,23,0
06071000904,49,4,2440000,36,9
06037109604,32,0,0,26,6
06087100700,15,0,0,15,0
06079012404,71,4,2660000,59,8
06037555211,25,2,1290000,20,3
06061022300,40,0,0,40,0
06065031504,34,0,0,26,8
06037481403,5,0,0,4,1
06037555212,17,1,1445000,14,2
06007000403,25,3,1195000,21,1
06037920322,58,2,1080000,51,5
06037536102,35,1,635000,23,11
06037480011,28,0,0,28,0
06047002100,35,1,425000,29,5
06099002100,34,0,0,21,13
06083002934,25,1,515000,23,1
06079012405,29,4,2800000,25,0
06037120400,33,0,0,29,4
06041102100,56,0,0,56,0
06037212202,5,0,0,5,0
06083002935,13,0,0,13,0
06007000404,53,2,1720000,47,4
06079012406,35,0,0,28,7
06037536103,36,0,0,34,2
06019005000,50,4,2200000,40,6
06059099220,72,1,765000,67,4
06037481404,26,0,0,26,0
06037480012,35,0,0,35,0
06033000601,45,6,1690000,26,13
06065050301,102,21,12985000,70,11
06037212203,1,0,0,1,0
