OID_ZCTA5_20|GEOID_ZCTA5_20|NAMELSAD_ZCTA5_20|AREALAND_ZCTA5_20|AREAWATER_ZCTA5_20|MTFCC_ZCTA5_20|CLASSFP_ZCTA5_20|FUNCSTAT_ZCTA5_20|OID_TRACT_20|GEOID_TRACT_20|NAMELSAD_TRACT_20|AREALAND_TRACT_20|AREAWATER_TRACT_20|MTFCC_TRACT_20|FUNCSTAT_TRACT_20|AREALAND_PART|AREAWATER_PART
||||||||207901192142124|04001942600|Census Tract 9426|1525247268|479090|G5020|S|316292126|72540
||||||||207901192163880|04001942700|Census Tract 9427|2990231681|2097183|G5020|S|53134986|3629
||||||||2079015497337321|04001944301|Census Tract 9443.01|1246521654|6865014|G5020|S|26269556|13015
||||||||207903717176146|04001944901|Census Tract 9449.01|1493045988|1576543|G5020|S|49371604|13879
||||||||207903717175734|04001945002|Census Tract 9450.02|1163920461|709218|G5020|S|165486132|237881
||||||||207901192159662|04001970300|Census Tract 9703|1378276229|6392535|G5020|S|456598617|190966
||||||||207903717174604|04001970502|Census Tract 9705.02|4571616716|22668347|G5020|S|2573881507|5582951
||||||||2079015538053538|04003000101|Census Tract 1.01|2318471840|685497|G5020|S|26106|0
||||||||207903709683386|04003001401|Census Tract 14.01|191701585|117181|G5020|S|115732147|77411
||||||||207903709683290|04003001402|Census Tract 14.02|136706887|33582|G5020|S|64171076|25090
||||||||207901053753370|04003001900|Census Tract 19|18713532|0|G5020|S|1497|0
||||||||207901203990966|04005001500|Census Tract 15|6915765822|38640911|G5020|S|2521795974|10735139
||||||||207901204012326|04005002000|Census Tract 20|5516726157|22205092|G5020|S|1792875599|0
||||||||2079015682041385|04005002201|Census Tract 22.01|4593696991|5573187|G5020|S|1708612924|12320
||||||||2079015682041357|04005002301|Census Tract 23.01|9961906362|3962993|G5020|S|3741259055|96000
||||||||2079015682041399|04005002302|Census Tract 23.02|1732252594|539761|G5020|S|407943813|336939
||||||||207903717901575|04005944900|Census Tract 9449|256564189|114258|G5020|S|84925438|0
||||||||207903717900918|04005945100|Census Tract 9451|5877986354|2361329|G5020|S|1399365202|320827
||||||||2079015682041553|04005980100|Census Tract 9801|115416008|25938|G5020|S|92257247|0
||||||||207903716703164|04007000302|Census Tract 3.02|679016066|568527|G5020|S|4898|358212
||||||||207901210045488|04007000700|Census Tract 7|2034093562|43704640|G5020|S|0|34755
||||||||207901210045478|04007940200|Census Tract 9402|2134058292|4388167|G5020|S|1389484569|2381933
||||||||207901210045483|04007940400|Census Tract 9404|2612727980|23878385|G5020|S|1412780497|1176936
||||||||207901215756371|04009940500|Census Tract 9405|4363260475|30419755|G5020|S|1922618921|3543863
||||||||207901215756369|04009961100|Census Tract 9611|1477380264|4908303|G5020|S|62365573|7033
||||||||207901215756374|04009961500|Census Tract 9615|1794770969|3457020|G5020|S|1032555110|1910563
||||||||207901215756368|04009961600|Census Tract 9616|3309200613|380904|G5020|S|44102|0
||||||||207901215756370|04009961700|Census Tract 9617|930839731|6850915|G5020|S|394588785|609979
||||||||2079015501865326|04012020101|Census Tract 201.01|3559256535|8901166|G5020|S|108444321|742752
||||||||2079015501865572|04012020102|Census Tract 201.02|1519819644|37430|G5020|S|994840118|0
||||||||207903717341554|04012020501|Census Tract 205.01|1652050956|0|G5020|S|219123100|0
||||||||207901220420914|04012020602|Census Tract 206.02|755288052|14537296|G5020|S|143721264|2065868
||||||||207903717341558|04012980000|Census Tract 9800|1582236917|0|G5020|S|1582236917|0
||||||||207903717434375|04013010102|Census Tract 101.02|2707868301|32141136|G5020|S|117466301|17025
||||||||207903717434473|04013040515|Census Tract 405.15|2261460376|308956|G5020|S|425892410|161936
||||||||207903717433654|04013040516|Census Tract 405.16|378606658|441974|G5020|S|264168094|322659
||||||||207901231172628|04013050603|Census Tract 506.03|3455325072|0|G5020|S|391064759|0
||||||||2079015682094184|04013050620|Census Tract 506.20|400020451|15610|G5020|S|261214985|5336
||||||||2079015682093676|04013050621|Census Tract 506.21|261000659|127447|G5020|S|56619764|123240
||||||||2079015682094327|04013610001|Census Tract 6100.01|96904554|17403|G5020|S|51052736|12517
||||||||207903717435681|04013723304|Census Tract 7233.04|747050745|0|G5020|S|331506667|0
||||||||207903717435294|04013723305|Census Tract 7233.05|1318859167|210596|G5020|S|296949866|0
||||||||207903717435231|04013723306|Census Tract 7233.06|2308412834|169306|G5020|S|1007493137|144370
||||||||207901230764914|04013941200|Census Tract 9412|99906300|934540|G5020|S|6066|0
||||||||207901230788669|04013941300|Census Tract 9413|212702670|7466210|G5020|S|66505067|2004833
||||||||207903717435922|04013980100|Census Tract 9801|2912718979|6913|G5020|S|2855267278|6913
||||||||2079015482149044|04015950101|Census Tract 9501.01|12306701705|26397368|G5020|S|9200568232|26148758
||||||||207903717270192|04017940008|Census Tract 9400.08|1013396856|115596|G5020|S|4985|0
||||||||207903717270178|04017940011|Census Tract 9400.11|761705247|159899|G5020|S|6384|0
||||||||207903717270211|04017940012|Census Tract 9400.12|2063320899|448103|G5020|S|897216567|166450
